id,taxon,genus,species,infraspecific,source,price_eur,acquired_date,status,location,notes
107,Tolumnia hawkesiana,Tolumnia,hawkesiana,,Orchideria di Morosolo,15,May 2023,alive,,Su zattera (mounted)
35,Utricularia alpina,Utricularia,alpina,,Gartenbau Carow,See notes,Apr 2020,alive,,Best.Nr: UTAL; part of €74.30 order
87,Utricularia fulva,Utricularia,fulva,,Carnivoria.eu,8,Feb 2017,given,,"Rockhole, WA"
153,Utricularia bisquamata 'Big Purple Flower',Utricularia,bisquamata,'Big Purple Flower',Klein Carnivors,5,Feb 2017,given,,Invoice #1911
154,Utricularia dichotoma (Blue Flower),Utricularia,dichotoma (Blue Flower),,Klein Carnivors,6,Feb 2017,given,,Invoice #1911
155,Utricularia × nelumbifolia × reniformis,Utricularia,× nelumbifolia × reniformis,,Klein Carnivors,12,Feb 2017,alive,,Invoice #1911
156,Utricularia calycifida 'Asenath White',Utricularia,calycifida,'Asenath White',Klein Carnivors,7,Feb 2017,alive,,Invoice #1911
157,Utricularia uniflora L-Type,Utricularia,uniflora L-Type,,Klein Carnivors,8,Feb 2017,lost,,Invoice #1911
158,Utricularia prehensilis,Utricularia,prehensilis,,Klein Carnivors,5,Feb 2017,given,,Invoice #1911
159,Utricularia welwitschii,Utricularia,welwitschii,,Klein Carnivors,8,Feb 2017,lost,,Invoice #1911
160,Utricularia blanchetii 'Violet' (Pico del Almos),Utricularia,blanchetii,'Violet' (Pico del Almos),Klein Carnivors,5,Feb 2017,lost,,Invoice #1911
319,Utricularia sandersonii (white),Utricularia,sandersonii (white),,From growlist (May 2020),See notes,,alive,,Vendor/date unknown
321,Utricularia longifolia,Utricularia,longifolia,,From growlist (May 2020),See notes,,alive,,Vendor/date unknown
68,Vanda coerulescens,Vanda,coerulescens,,Celandroni Orchidee,55,May 2025,alive,,
127,Vanda coerulescens,Vanda,coerulescens,,Currlin Orchideen,13.08,Dec 2021,lost,,
265,Vanda nana,Vanda,nana,,Claessen Orchids & Plants,19.95,Nov 2023,alive,,
339,Vanda 'Chocolate Brown',Vanda,,'Chocolate Brown',From growlist (May 2020),See notes,,lost,,Vendor/date unknown
81,Vandachostylis Sasicha,Vandachostylis,Sasicha,,Celandroni Orchidee,35,Jan 2020,lost,,
412,Stelis sp.,Stelis,sp.,,Ecuagenera.com,,,alive,,
413,Brocchinia reducta,Brocchinia,reducta,,eBay,,,alive,,
414,"Dionaea muscipula ""Pom Pom""",Dionaea,muscipula,"""Pom Pom""",friend,,,alive,,
415,Ficus microcarpa,Ficus,microcarpa,,friend,,,alive,,
416,Bulbophyllum thiurum,Bulbophyllum,thiurum,,Großräschener Orchideen,,,alive,,
417,"Sarracenia flava var. ornata FO6 ""Filiformis"" (V. Bordin), aberrant form",Sarracenia,flava,"var. ornata FO6 ""Filiformis"" (V. Bordin), aberrant form",unknown,,,alive,,
418,Utricularia prehensilis,Utricularia,prehensilis,,Klein Carnivors,,,alive,,
419,Restrepia vasquezii,Restrepia,vasquezii,,Ecuagenera,20.4,Nov 2022,alive,,
420,Phragmipedium kovachii,Phragmipedium,kovachii,,Ecuagenera,114.24,Nov 2022,alive,,
421,Restrepia sanguinea,Restrepia,sanguinea,,Ecuagenera,24.48,Nov 2022,alive,,Ecuagenera batch 002263
422,Restrepia trichoglossa var. xanthina,Restrepia,trichoglossa,var. xanthina,Ecuagenera,21.6,Nov 2022,alive,,yellow form
